,borough,number_of_cyclist_injured,number_of_cyclist_killed,vehicle_type_code1,vehicle_type_code2,latitude,longitude
142,STATEN ISLAND,1,0,BICYCLE,,40.638466,-74.10288
143,BRONX,1,0,UNKNOWN,,40.8229893,-73.8678032
144,BROOKLYN,1,0,BICYCLE,,40.7262997,-73.9573549
145,MANHATTAN,1,0,BICYCLE,,40.822906,-73.94207
146,BROOKLYN,1,0,BICYCLE,,40.6518337,-74.0033264
147,BROOKLYN,1,0,BICYCLE,,40.683743,-73.99524
148,MANHATTAN,1,0,BICYCLE,,40.7272105,-73.99527
149,QUEENS,1,0,BICYCLE,,40.712654,-73.84953
150,MANHATTAN,1,0,BICYCLE,,40.74311,-73.992676
151,QUEENS,1,0,BICYCLE,,40.6949385,-73.7331388
152,BRONX,1,0,BICYCLE,,,
153,MANHATTAN,1,0,BICYCLE,,40.713814,-74.00558
154,BRONX,2,0,BICYCLE,,40.844795,-73.92263
155,MANHATTAN,1,0,BICYCLE,,40.7916347,-73.9625604
156,MANHATTAN,1,0,BICYCLE,,40.72803,-74.00216
157,QUEENS,1,0,PASSENGER VEHICLE,,40.7590699,-73.9350588
158,BRONX,1,0,BICYCLE,,40.851902,-73.831024
159,MANHATTAN,1,0,,,40.8108433,-73.9506791
160,BRONX,1,0,BICYCLE,,40.81352,-73.91967
161,QUEENS,1,0,PASSENGER VEHICLE,,40.7302774,-73.743984
162,BROOKLYN,1,0,BICYCLE,,40.676006,-73.9716
163,MANHATTAN,1,0,BICYCLE,,40.713444,-73.99854
164,MANHATTAN,1,0,BICYCLE,,,
165,MANHATTAN,1,0,BICYCLE,,40.77994,-73.97103
166,QUEENS,1,0,PASSENGER VEHICLE,,40.78015,-73.8460249
167,BROOKLYN,1,0,BICYCLE,,40.70542,-73.96666
168,MANHATTAN,1,0,BICYCLE,,40.8181462,-73.955374
169,BRONX,1,0,BICYCLE,,40.802916,-73.9202825
170,MANHATTAN,1,0,BICYCLE,,,
171,STATEN ISLAND,1,0,BICYCLE,,40.63367,-74.12945
172,MANHATTAN,1,0,SPORT UTILITY / STATION WAGON,,40.774934,-73.9447664
173,MANHATTAN,1,0,BICYCLE,,40.723022,-73.99882
174,MANHATTAN,1,0,,,40.8474287,-73.9313942
175,BRONX,1,0,SPORT UTILITY / STATION WAGON,,40.877299,-73.8521136
176,QUEENS,1,0,PASSENGER VEHICLE,,40.6766283,-73.7554922
177,BROOKLYN,1,0,BICYCLE,,40.70368,-73.92259
178,QUEENS,1,0,PASSENGER VEHICLE,,40.7582683,-73.8801755
179,BROOKLYN,1,0,BICYCLE,,40.664,-73.94942
180,BROOKLYN,1,0,BICYCLE,,40.62246,-74.02779
181,BRONX,1,0,BICYCLE,,40.8356261,-73.8520689
182,BRONX,1,0,BICYCLE,,40.8375868,-73.8663865
183,BROOKLYN,1,0,BICYCLE,,40.6799453,-73.9895589
184,MANHATTAN,1,0,BICYCLE,,40.8353596,-73.9402171
185,BRONX,1,0,SPORT UTILITY / STATION WAGON,,40.8160833,-73.8156199
186,MANHATTAN,1,0,BICYCLE,,40.80396,-73.94828
187,MANHATTAN,1,0,BICYCLE,,40.739864,-73.989586
188,QUEENS,1,0,PASSENGER VEHICLE,,40.6847487,-73.8311195
189,QUEENS,1,0,PASSENGER VEHICLE,,40.6960029,-73.7974808
190,BRONX,1,0,BICYCLE,,40.809345,-73.891914
191,QUEENS,1,0,BICYCLE,,40.7038702,-73.8193783
192,BRONX,1,0,BICYCLE,,40.83342,-73.893135
193,MANHATTAN,1,0,BICYCLE,,40.712437,-73.99703
194,QUEENS,1,0,BICYCLE,,40.680416,-73.843895
195,QUEENS,1,0,BICYCLE,,40.7666915,-73.9171454
196,QUEENS,1,0,LIVERY VEHICLE,,40.6822652,-73.8451332
197,QUEENS,1,0,BICYCLE,,,
198,BROOKLYN,1,0,BICYCLE,,40.694256,-73.958855
199,BRONX,1,0,BICYCLE,,40.8305026,-73.86162
200,MANHATTAN,1,0,BICYCLE,,40.751442,-73.97606
201,BROOKLYN,1,0,BICYCLE,,40.6470687,-73.9939279
202,MANHATTAN,1,0,BICYCLE,,40.7793812,-73.9810544
203,BRONX,1,0,BICYCLE,,40.8553791,-73.8315755
204,MANHATTAN,0,1,BICYCLE,,40.728195,-73.984886
205,BRONX,1,0,UNKNOWN,,40.834417,-73.9285383
206,QUEENS,1,0,BICYCLE,,40.684258,-73.84604
207,MANHATTAN,1,0,BICYCLE,,40.742317,-73.99144
208,QUEENS,1,0,BICYCLE,,40.707954,-73.83715
209,MANHATTAN,1,0,BICYCLE,,40.774406,-73.965614
210,MANHATTAN,1,0,BICYCLE,,,
211,QUEENS,1,0,PASSENGER VEHICLE,,40.7284969,-73.7468556
212,BRONX,1,0,BICYCLE,,40.845985,-73.884476
213,QUEENS,1,0,BICYCLE,,40.704338,-73.82545
214,QUEENS,1,0,BICYCLE,,40.71458,-73.73108
215,BRONX,1,0,PASSENGER VEHICLE,,40.8318203,-73.8573243
216,BRONX,1,0,BICYCLE,,40.826256,-73.88881
217,BRONX,1,0,PASSENGER VEHICLE,,40.8361789,-73.8842489
218,MANHATTAN,1,0,PASSENGER VEHICLE,,40.7203211,-73.9940403
219,MANHATTAN,1,0,BICYCLE,,40.8128153,-73.9418016
220,BROOKLYN,1,0,BICYCLE,,,
221,QUEENS,1,0,BICYCLE,,40.72368,-73.89961
222,QUEENS,1,0,BICYCLE,,40.71585,-73.91369
223,QUEENS,1,0,PASSENGER VEHICLE,,40.6778985,-73.7513595
224,QUEENS,1,0,BICYCLE,,40.7120013,-73.8254559
225,BROOKLYN,1,0,BICYCLE,,40.6524533,-74.0134317
226,BRONX,1,0,BICYCLE,,40.856106,-73.90646
227,QUEENS,1,0,PASSENGER VEHICLE,,40.6800084,-73.8487907
228,QUEENS,1,0,BICYCLE,,40.660946,-73.73888
